"Title","Content","Source"
"Computer security","Computer security (also cybersecurity, digital security, or information technology (IT) security) is the protection of computer software, systems and networks from threats that may result in unauthorized information disclosure, theft of (or damage to) hardware, software, or data, as well as from the disruption or misdirection of the services they provide.
The field is significant due to the expanded reliance on computer systems, the Internet, and wireless network standards. It is also significant due to the growth of smart devices, including smartphones, televisions, and the various devices that constitute the Internet of things (IoT). Cybersecurity is one of the most significant new challenges facing the contemporary world, due to both the complexity of information systems and the societies they support. Security is of especially high importance for systems that govern large-scale systems with far-reaching physical effects, such as power distribution, elections, and finance.
While many aspects of computer security involve digital security such as electronic passwords and encryption, physical security measures such as metal locks are still used to prevent unauthorized tampering. IT security is not a perfect subset of information security, thus does not fit completely into the security convergence schema.","https://en.wikipedia.org/wiki/Computer%20security"
"NIST Cybersecurity Framework","The NIST Cybersecurity Framework (CSF) is a set of voluntary guidelines designed to help organizations assess and improve their ability to prevent, detect, and respond to cybersecurity risks. Developed by the U.S. National Institute of Standards and Technology (NIST), the framework was initially published in 2014 for critical infrastructure sectors but has since been widely adopted across various industries, including government and private enterprises globally. The framework integrates existing standards, guidelines, and best practices to provide a structured approach to cybersecurity risk management.
The CSF is composed of three primary components: the Core, Implementation Tiers, and Profiles. The Core outlines five key cybersecurity functions—Identify, Protect, Detect, Respond, and Recover—each of which is further divided into specific categories and subcategories. These functions offer a high-level, outcome-driven approach to managing cybersecurity risks. The Implementation Tiers help organizations assess the sophistication of their cybersecurity practices, while the Profiles allow for customization based on an organization's unique risk profile and needs.
Since its inception, the CSF has undergone several updates to reflect the evolving nature of cybersecurity. Version 1.1, released in 2018, introduced enhancements related to supply chain risk management and self-assessment processes. The most recent update, Version 2.0, was published in 2024, expanding the framework’s applicability and adding new guidance on cybersecurity governance and continuous improvement practices.
The NIST Cybersecurity Framework is used internationally and has been translated into multiple languages. It serves as a benchmark for cybersecurity standards, helping organizations align their practices with recognized global standards, such as ISO/IEC 27001 and COBIT. While widely praised, the framework has been criticized for the cost and complexity involved in its implementation, particularly for small and medium-sized enterprises.

","https://en.wikipedia.org/wiki/NIST%20Cybersecurity%20Framework"
"Capture the flag (cybersecurity)","Capture the Flag (CTF) in computer security is an exercise in which participants attempt to find text strings, called ""flags"", which are secretly hidden in purposefully-vulnerable programs or websites. They can be used for both competitive or educational purposes. In two main variations of CTFs, participants either steal flags from other participants (attack/defense-style CTFs) or from organizers (jeopardy-style challenges). A mixed competition combines these two styles. Competitions can include hiding flags in hardware devices, they can be both online or in-person, and can be advanced or entry-level. The game is inspired by the traditional outdoor sport of the same name.","https://en.wikipedia.org/wiki/Capture%20the%20flag%20(cybersecurity)"
"Cybersecurity and Infrastructure Security Agency","The Cybersecurity and Infrastructure Security Agency (CISA) is a component of the United States Department of Homeland Security (DHS) responsible for cybersecurity and infrastructure protection across all levels of government, coordinating cybersecurity programs with U.S. states, and improving the government's cybersecurity protections against private and nation-state hackers. 
The agency began in 2007 as the DHS National Protection and Programs Directorate. With the Cybersecurity and Infrastructure Security Agency Act of 2018, CISA's footprint grew to include roles in securing elections and the census, managing National Special Security Events, and the U.S. response to the COVID-19 Pandemic. It has also been involved in 5G network security and hardening the US grid against electromagnetic pulses (EMPs). The Office for Bombing Prevention leads the national counter-IED effort.
Currently headquartered in Arlington, Virginia, in 2025 CISA is planning to move its headquarters along with 6,500 employees to a new 10 story, 620,000 sq ft building on the consolidated DHS St. Elizabeths campus headquarters.

","https://en.wikipedia.org/wiki/Cybersecurity%20and%20Infrastructure%20Security%20Agency"
"Israeli cybersecurity industry","The Israeli cybersecurity industry is a rapidly growing sector within Israel's technology and innovation ecosystem. Israel is internationally recognized as a powerhouse in the cybersecurity domain, with numerous cybersecurity startups, established companies, research institutions, and government initiatives. Tel Aviv itself is being ranked 7th in annual list of best global tech ecosystems, as reported by the Jerusalem Post.

","https://en.wikipedia.org/wiki/Israeli%20cybersecurity%20industry"
"LevelBlue","LevelBlue (formerly AT&T Cybersecurity) is a managed security service provider. Cybersecurity investor WillJam Ventures officially launched LevelBlue, a joint venture with AT&T, to form a new, standalone managed cybersecurity services business at RSA Conference 2024. LevelBlue offers managed security services, consulting, threat intelligence and research.","https://en.wikipedia.org/wiki/LevelBlue"
"Journal of Cybersecurity","The Journal of Cybersecurity is an open access peer reviewed academic journal of cybersecurity. It is published by Oxford University Press. It was first issued in 2015.
Its editors in chief are Tyler Moore and David Pym.
The journal is a member of the Committee on Publication Ethics (COPE). The journal concentrates on the belief that computer science approaches are critical, but are not enough to tackle cybersecurity threats. Moreover, the article maintains the belief that interdisciplinary academic contributions are needed to understand the different facets of cybersecurity.","https://en.wikipedia.org/wiki/Journal%20of%20Cybersecurity"
"Cyber-security regulation","A cybersecurity regulation comprises directives that safeguard information technology and computer systems with the purpose of forcing companies and organizations to protect their systems and information from cyberattacks like viruses, worms, Trojan horses, phishing, denial of service (DOS) attacks, unauthorized access (stealing intellectual property or confidential information) and control system attacks.[1] While cybersecurity regulations aim to minimize cyber risks and enhance protection, the uncertainty arising from frequent changes or new regulations can significantly impact organizational response strategies. 
There are numerous measures available to prevent cyberattacks. Cybersecurity measures include firewalls, anti-virus software, intrusion detection and prevention systems, encryption, and login passwords.[2] There have been attempts to improve cybersecurity through regulation and collaborative efforts between the government and the private sector to encourage voluntary improvements to cybersecurity. Industry regulators, including banking regulators, have taken notice of the risk from cybersecurity and have either begun or planned to begin to include cybersecurity as an aspect of regulatory examinations.
Recent research suggests there is also a lack of cyber-security regulation and enforcement in maritime businesses, including the digital connectivity between ships and ports.

","https://en.wikipedia.org/wiki/Cyber-security%20regulation"
"Richard Forno","Richard Forno is a consultant, lecturer, and writer in the area of Washington, DC.","https://en.wikipedia.org/wiki/Richard%20Forno"
"Cybersecurity and Infrastructure Security Agency Act","The Cybersecurity and Infrastructure Security Agency Act of 2018 (H.R. 3359, Pub. L.Tooltip Public Law (United States) 115–278 (text) (PDF)) was signed by president Donald Trump  on November 16, 2018, to establish the Cybersecurity and Infrastructure Security Agency under the Department of Homeland Security. The act was introduced into the United States House of Representatives by Michael McCaul (R-TX-10) on July 24, 2017. It received committee consideration from the House Homeland Security, House Energy and Commerce, House Oversight and Government Return, and House Transportation and Infrastructure, though it was discharged by the Committee on Energy and Commerce, the Committee on Government Oversight and Return, and the Committee on Transportation. It passed the House of Representatives on December 11, 2017, via vocal vote, passed the Senate on October 3, 2018, by unanimous consent, and agreed upon by the House again on November 13, 2018.","https://en.wikipedia.org/wiki/Cybersecurity%20and%20Infrastructure%20Security%20Agency%20Act"
"Tenable, Inc.","Tenable, Inc. is a cybersecurity company based in Columbia, Maryland. Its vulnerability scanner software Nessus, developed in 1998, is one of the most widely deployed vulnerability assessment solutions in the cybersecurity industry. As of December 31, 2023, the company had approximately 44,000 customers, including 65% of the Fortune 500.","https://en.wikipedia.org/wiki/Tenable%2C%20Inc."
"National Cyber Security Awareness Month","National Cyber Security Awareness Month (NCSAM) is observed in October in the United States of America. Started by the National Cyber Security Division within the Department of Homeland Security and the nonprofit National Cyber Security Alliance, the month raises awareness about the importance of cybersecurity.","https://en.wikipedia.org/wiki/National%20Cyber%20Security%20Awareness%20Month"
"Lateral movement (cybersecurity)","Lateral movement refers to the techniques that cyber attackers, or threat actors, use to progressively move through a network as they search for the key data and assets that are ultimately the target of their attack campaigns. While development of more sophisticated sequences of attack has helped threat actors develop better strategies and evade detection as compared to the past, similar to planning a heist, cyber defenders have also learned to use lateral movement against attackers in that they use it to detect their location and respond more effectively to an attack.
Lateral movement is a part of ATT&CK framework, within the 14 categories of Tactics, Techniques, and Procedures.","https://en.wikipedia.org/wiki/Lateral%20movement%20(cybersecurity)"
